family,depth,width,residual,learning_rate,activation,gamma_scale,model,parameters,best_epoch,val_loss,val_accuracy,val_f1,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_loss_mean,test_loss_std
dense,3,26,False,0.01,relu,1.0,dense_d3_plain,1147,68,0.008026208839279307,1.0,1.0,0.9722222222222222,0.022680460581325734,0.9723113100890878,0.022394483113285124,0.05408333354211229,0.028553292132265817
dense,3,26,True,0.01,relu,1.0,dense_d3_residual,1147,22,0.012441152140224038,1.0,1.0,0.9722222222222222,0.022680460581325734,0.9734997512775291,0.020971043350849247,0.06285715360865758,0.022255479799559406
dense,5,13,False,0.01,relu,1.0,dense_d5_plain,770,250,0.0012805205746620346,1.0,1.0,0.9814814814814815,0.013094570021973107,0.9811875367430923,0.0133024203397822,0.11314001338628214,0.08490020861592895
dense,5,26,True,0.003,tanh,1.0,dense_d5_residual,2551,250,0.0106658741710645,1.0,1.0,1.0,0.0,1.0,0.0,0.009889001845095842,0.0040898220335255295
dense,7,26,False,0.01,relu,1.0,dense_d7_plain,3955,13,0.0021294166948806923,1.0,1.0,0.9537037037037036,0.013094570021973107,0.9556982934760713,0.013305064842873422,0.2721142713416766,0.2257582982890189
dense,7,26,True,0.01,relu,1.0,dense_d7_residual,3955,20,0.007017943738802902,1.0,1.0,0.9444444444444445,0.022680460581325734,0.9471132982244094,0.021077985924230845,0.1419228321031505,0.051549214092040024
rbf,3,26,False,0.01,tanh,2.0,rbf_d3_plain,1092,59,0.5933169391435064,1.0,1.0,0.9444444444444443,1.1102230246251565e-16,0.9407407407407407,0.0,0.6361983590685214,0.002453032283500818
rbf,3,26,True,0.01,tanh,2.0,rbf_d3_residual,1092,244,0.6009631241134147,1.0,1.0,0.9537037037037037,0.013094570021973107,0.9508144563195984,0.014246385195109778,0.6364602730473923,0.0017632094081865752
rbf,5,13,False,0.01,tanh,2.0,rbf_d5_plain,715,121,0.5565530332715415,1.0,1.0,0.8888888888888888,0.0,0.8859482038429407,0.00033081019002877425,0.6496573012242665,0.004666098489470109
rbf,5,13,True,0.01,tanh,2.0,rbf_d5_residual,715,78,0.5691870526103587,1.0,1.0,0.9259259259259259,0.013094570021973107,0.9221706885348748,0.013131009841755931,0.6325645927968088,0.006719935871142864
rbf,7,13,False,0.01,tanh,2.0,rbf_d7_plain,1053,4,0.5767683694754264,1.0,1.0,0.9351851851851851,0.03464497580346244,0.9327454438565549,0.03558863616675855,0.6514651842365954,0.02566035711557603
rbf,7,26,True,0.01,tanh,2.0,rbf_d7_residual,3796,94,0.5648780170757182,1.0,1.0,0.9259259259259259,0.013094570021973107,0.9245149911816579,0.012969859831287685,0.6268339259354088,0.00814132034252778
mixed,3,26,False,0.01,tanh,0.5,mixed_d3_plain,1121,235,0.01325776528579542,1.0,1.0,1.0,0.0,1.0,0.0,0.012720755671352368,0.0025534764515998945
mixed,3,13,True,0.01,tanh,2.0,mixed_d3_residual,393,87,0.01081450263594061,1.0,1.0,1.0,0.0,1.0,0.0,0.013307925562306006,0.0036438969402990766
mixed,5,26,False,0.01,tanh,2.0,mixed_d5_plain,2499,247,0.0027746637607246392,1.0,1.0,0.9907407407407408,0.013094570021973107,0.9903206291591046,0.013688697518432881,0.026562847821971103,0.027157995737063283
mixed,5,26,True,0.01,tanh,0.5,mixed_d5_residual,2499,239,0.004812639898136843,1.0,1.0,1.0,0.0,1.0,0.0,0.004097022840199439,0.0024487436636477043
mixed,7,26,False,0.01,tanh,2.0,mixed_d7_plain,3877,250,0.0008067847594012588,1.0,1.0,0.9907407407407408,0.013094570021973107,0.9903206291591046,0.013688697518432881,0.0184678734108385,0.011977948762784813
mixed,7,26,True,0.01,tanh,2.0,mixed_d7_residual,3877,250,0.002695631338657187,1.0,1.0,0.9722222222222222,0.022680460581325734,0.9719457497235275,0.022839361205164495,0.04247943479139452,0.013508903133306301
