family,depth,width,residual,learning_rate,activation,gamma_scale,val_loss,val_accuracy,val_f1,best_epoch,epochs_run,status,seconds
dense,3,13,False,0.003,tanh,1.0,0.03752558401198847,0.9642857142857143,0.9665831244778613,250,250,ok,0.19056541700000007
dense,3,13,False,0.003,relu,1.0,0.05384833478575115,1.0,1.0,106,146,ok,0.10995987499999993
dense,3,13,False,0.01,tanh,1.0,0.05480482146125185,0.9642857142857143,0.9665831244778613,104,144,ok,0.10572512499999998
dense,3,13,False,0.01,relu,1.0,0.03801627392070262,1.0,1.0,39,79,ok,0.055734167
dense,3,26,False,0.003,tanh,1.0,0.023931379448584995,1.0,1.0,235,250,ok,0.21135745800000016
dense,3,26,False,0.003,relu,1.0,0.028320219066653666,1.0,1.0,68,108,ok,0.097256958
dense,3,26,False,0.01,tanh,1.0,0.02053447750848062,1.0,1.0,105,145,ok,0.12842291699999997
dense,3,26,False,0.01,relu,1.0,0.008026208839279307,1.0,1.0,68,108,ok,0.09649412499999999
dense,3,13,True,0.003,tanh,1.0,0.023386711449433745,1.0,1.0,250,250,ok,0.1916683749999999
dense,3,13,True,0.003,relu,1.0,0.036887318059368686,1.0,1.0,143,183,ok,0.13299391700000007
dense,3,13,True,0.01,tanh,1.0,0.017898276936544586,1.0,1.0,250,250,ok,0.18806429199999974
dense,3,13,True,0.01,relu,1.0,0.06204992693853274,1.0,1.0,12,52,ok,0.0375529160000001
dense,3,26,True,0.003,tanh,1.0,0.015250668802173075,1.0,1.0,250,250,ok,0.21315550000000005
dense,3,26,True,0.003,relu,1.0,0.020232797532674623,1.0,1.0,108,148,ok,0.11414020899999988
dense,3,26,True,0.01,tanh,1.0,0.029840954901414356,0.9642857142857143,0.9665831244778613,235,250,ok,0.2045389580000001
dense,3,26,True,0.01,relu,1.0,0.012441152140224038,1.0,1.0,22,62,ok,0.0478523329999998
dense,5,13,False,0.003,tanh,1.0,0.009694566296973321,1.0,1.0,250,250,ok,0.2527262499999998
dense,5,13,False,0.003,relu,1.0,0.003644472288177177,1.0,1.0,250,250,ok,0.238540333
dense,5,13,False,0.01,tanh,1.0,0.006713039351698105,1.0,1.0,249,250,ok,0.254815083
dense,5,13,False,0.01,relu,1.0,0.0012805205746620346,1.0,1.0,250,250,ok,0.23311716700000007
dense,5,26,False,0.003,tanh,1.0,0.0424048786429762,0.9642857142857143,0.9665831244778613,108,148,ok,0.1754278330000001
